ISO;País;% de mayores
ALB;Albania;16.45660325
DEU;Alemania;22.11982158
AUT;Austria;19.55790875
AZE;Azerbaiyán;8.487100757
BEL;Bélgica;19.67919736
BGR;Bulgaria;23.50265443
CYP;Chipre;16.63145799
HRV;Croacia;22.740252
DNK;Dinamarca;20.45170677
SVN;Eslovenia;21.43193202
ESP;ESPAÑA;20.1470381
EST;Estonia;20.23985931
FIN;Finlandia;23.26595938
FRA;Francia;21.20227491
GEO;Georgia;15.55260913
GRC;Grecia;22.9551962
HUN;Hungría;20.53733933
IRL;Irlanda;15.18601812
ISL;Islandia;15.03308765
ITA;Italia;24.03723695
LVA;Letonia;20.97272024
LIE;Liechtenstein;19.6461426
LTU;Lituania;20.00735665
LUX;Luxemburgo;14.86359901
MKD;Macedonia del N.;17.66793045
MLT;Malta;18.58681194
MDA;Moldavia;16.05821173
MNE;Montenegro;16.38362562
NOR;Noruega;18.42710782
NLD;Países Bajos;20.2184502
POL;Polonia;19.89154518
PRT;Portugal;23.95943736
CZE;República Checa;20.39106984
SVK;República Eslovaca;17.85052734
ROU;Rumanía;19.70309136
SRB;Serbia;22.13046835
SWE;Suecia;20.40702915
CHE;Suiza;19.18943983
TUR;Turquía;9.910545615
EU;UE-27;18.34525541
